Lista de precios Comercializadora de valor agregado S.A. de C.V. (26/09/2013 15:30:00),,,,
Clave,Marca,Descripcion,Precio,Stock
AC-1028,GENIUS,BASE ENFRIADORA GENIUS NB STAND100 CON 2 VENTILADORES P/NOTEBOOK USB,6.55,1
AC-1039,TRANSCEND,LECTOR DE MEMORIAS ALL IN ONE USB2.0 NEG TRANSCEND,9.75,1
AC-1101,VARIOS,TARJETA FIREWIRE MANHATTAN 400 EXPRESS,1143.75,1
AC-1110,TRANSCEND,LECTOR DE MEMORIAS P5 USB2.0 TRANSCEND,4.54,1
AC-1111,IOGEAR,KVM SWITCH 4 PTOS DIGITAL USB & DVI ALTA DEFINICION IOGEAR,336.1,3
AC-1135,D-LINK,PROTECTOR DE EXTERIORES D-LINK P/CAMARA DE VIDEO VIGILANCIA IP,82.05,1
AC-1157,HP,KIT DE INSTALACION DE FUENTE HOT PLUG ML150 G6 HP,2802.59,0
AC-1164,HP,HP 24A LOW VOLTAGE US/JP MODULAR PDU,4986.67,1
AC-1168,TRIPP-LITE,KVM SWITCH USB/PS2 16 PUERTOS 1U CON OSD TRIPP-LITE,6065.76,1
AC-1218,SABRENT,"PORTA DD SABRENT 2.5"" IDE/USB 2.0 ULTRA LIGHT NEGRO",4.78,1
AC-1219,SABRENT,LECTOR DE MEMORIAS USB 2.0 24 EN 1 SABRENT,1.31,1
AC-1223,SABRENT,KVM SWITCH 4 PTOS USB 2.0 SABRENT C/JGO DE CABLES,21.28,1
AC-1225,SABRENT,LECTOR DE MEMORIA INTERNO USB 2.0 65 EN 1 SABRENT,3.46,1
AC-1241,XEROX,2DA BANDEJA P/WC5016/5020 XEROX,147.24,0
AC-1242,XEROX,SOPORTE PARA WC5016/5020 XEROX,98.16,0
AC-1246,LENOVO,CARGADOR PARA LAPTOP LENOVO THINKPAD AC 90W 20V 4.5 A  (40Y7659) * Revisar compatibilidad,379.32,1
AC-1267,HP,TARJETA EXPANSORA DE PUERTOS SAS HP,4926.14,3
AC-1270,TECH ZONE,BASE ENFRIADORA TECH ZONE SUPERPORTABLE P/PORTATIL PLATA,111.36,1
AC-1274,NATIONAL SOFT,TERMINAL ADICIONAL ON THE MINUTE TCP/IP NATIONAL SOFT,3942.81,1
AC-1315,LOGITECH,PRESENTADOR INALAMBRICO LOGITECH WIRELESS R400 USB,429.89,3
AC-1362,HP,HP IP CONSOLE 8 PACK INTERFACE ADAPTER,9391.31,1
AC-1363,HP,HP IP CAT5 QTY-8 6FT/2M CABLE,526.81,1
AC-1366,HP,HP 0X2X8 KVM SVR CNSL G2 SW,11291.89,1
AC-1367,PERFECT CHOICE,TRANSMISOR FM C/CONTROL REMOTO ( PC-331117 ),235.76,1
AC-1373,XEROX,UNIDAD DUPLEX XEROX AUTOMATICA PARA PHASER 6140,146.07,0
,,,,
AC-1380,APC,GABINETE RACK APC NETSHELTER SX 24U 600MM X 1070MM DEEP ENCLOSURE,1087.82,5
AC-1399,ACTECK,ENCLOSURE DISCO DURO  3.5 SATA NEGRO ALIMENTADO  ACTECK,184.83,1
AC-1413,MANHATTAN,ADAPTADOR UNIVERSAL P/NOTBOOK MANHATTAN C/PUNTAS INTERCAMBIABLES,23.18,99
AC-1415,MANHATTAN,HUB USB 4 PUERTOS MANHATTAN NEGRO,3.38,0
AC-1417,INTELLINET,"PANEL PARCHEO INTELLINET CAT 5E, 24 PTOS",26.56,99
AC-1418,INTELLINET,"PANEL PARCHEO INTELLINET CAT 5E, 48 PTOS",53.13,99
AC-1437,NATIONAL SOFT,"LECTOR UNIVERSAL DIGITAL PERSONAL, U ARE U 4500B USB",112.5,0
,,,,
AC-1441,NATIONAL SOFT,CARD RFID-50 TARJETAS,651,0
AC-1453,TRENDNET,ANTENA TRENDNET P/INTERIORES OMNIDIRECCIONAL BANDA DUAL 7DBI,27.43,3
AC-1457,SABRENT,"PORTA DD SABRENT 3,5 "" SATA / SATA II USB 2.0 HASTA 3 GBITS",15.08,1
AC-1465,MANHATTAN,CANDADO DE SEGURIDAD MANHATTAN PARA LAPTOP,15.93,3
AC-1473,MANHATTAN,CONVERTIDOR USB A SERIAL DOBLE MANHATTAN,20.18,3
AC-1474,CISCO,CONSOLA CISCO 32 BOTONES P/TELEFONO IP MOD. SPA500S,64.46,0
AC-1481,TECH ZONE,HUB 7 PUERTOS USB 2.0 TECH ZONE NEGRO,127.39,1
AC-1532,TRENDNET,CONVERTIDOR TRENDNET FIBRA ST MULTIMODO 100B-TX A 100B-FX,56.81,5
AC-1534,ENCORE,ANTENA ENCORE INALAMBRICA OMNIDIRECCIONAL  2.4 GHZ  7 DBI,3.1,1
AC-1569,MANHATTAN,"MOUSE PAD MANHATTAN TIPO GEL, NEGRO",4.55,99
AC-1570,MANHATTAN,"MOUSE PAD 6 MM MANHATTAN, NEGRO (EN BOLSA)",0.82,99
AC-1601,TECH ZONE,"FUNDA DE NEOPRENO TECH ZONE ROJA 15.6"" HELLO KITTY",159.09,1
AC-1603,TECH ZONE,"FUNDA DE NEOPRENO TECH ZONE NEGRA 15.6"" HELLO KITTY",159.09,1
AC-1608,MANHATTAN,"BARRA MULTICONTACTO MANHATTAN 6 CONTACTOS, NEGRA",4.73,99
AC-1613,TRENDNET,ANTENA TRENDNET P/EXTERIOR OMNIDIRECCIONAL DE 12 DBI,74.15,3
AC-1616,MANHATTAN,MINI HUB USB 2.0 4 PUERTOS MANHATTAN,6.27,99
AC-1617,MANHATTAN,BASE VENTILADA MANHATTAN PARA NOTEBOOK C/ 3 VENTILADORES,9.17,99
AC-1618,MANHATTAN,PULSERA ANTIESTATICA MANHATTAN,4.34,99
,,,,
AC-1619,MANHATTAN,"GABINETE C/FLOPPY EXTERNO MANHATTAN DRIVE 3.5"" USB",30.72,99
AC-1620,MANHATTAN,CARGADOR USB MANHATTAN UNIVERSAL,5.11,3
,,,,
AC-1622,MANHATTAN,LECTOR DE MEMORIAS 80 EN 1 USB2.0 MANHATTAN,12.66,99
AC-1624,MANHATTAN,LAMPARA POR PUERTO USB MANHATTAN PARA PORTATIL,3.57,99
AC-1625,MANHATTAN,HUB USB 2.0 4 PUERTOS MANHATTAN MULTICOLOR,6.27,99
AC-1626,MANHATTAN,LECTOR DE MEMORIAS 40 EN 1 + 3 PTOS USB 2.0 MANHATTAN,8.59,99
AC-1642,MANHATTAN,"CANDADO PARA LAPTOP MANHATTAN DE COMBINACION 1.8 MTS, NEGRO V2",15.93,3
AC-1644,MANHATTAN,LECTOR DE TARJETAS INT. 63 EN 1 USB 2.0 MANHATTAN NEGRO,9.75,99
AC-1648,MANHATTAN,TARJETA SONIDO MANHATTAN PCI 5 CANALES,15.16,99
AC-1649,MANHATTAN,TARJETA SERIAL MANHATTAN PCI EXPRESS 2 PUERTOS,42.69,99
,,,,
AC-1651,MANHATTAN,TARJETA FIREWIRE MANHATTAN 400 PCI EXPRESS 2 PUERTOS,50.42,5
AC-1652,MANHATTAN,"HUB USB 2.0 MANHATTAN, 4 PTOS C/FUENTE ALIMENTACION EXTERNA",12.94,3
AC-1653,MANHATTAN,MULTIPLEXOR USB MANHATTAN COMPARTE 1 DISPOSITIVO A 2 PC,31.88,99
AC-1654,MANHATTAN,MULTIPLEXOR USB MANHATTAN COMPARTE 1 DISPOSITIVO A 4 PC,43.47,3
AC-1655,MANHATTAN,"TARJETA USB MANHATTAN PCI VERSION 2.0, 4 PUERTOS",13.14,99
AC-1657,MANHATTAN,CONVERTIDOR MANHATTAN USB A VIDEO VGA RESOLUCION (2048*1280),105.18,99
AC-1658,MANHATTAN,CONVERTIDOR MANHATTAN USB A VIDEO VGA RESOLUCION (1280*1040),57.27,99
AC-1659,MANHATTAN,TARJETA SERIAL MANHATTAN PCI EXPRESS 1 PUERTO,31.49,99
AC-1660,MANHATTAN,VIDEO SPLITTER MANHATTAN 2 MONITORES A 1 PC,39.8,3
AC-1661,MANHATTAN,VIDEO SPLITTER MANHATTAN 4 MONITORES A 1 PC,54.18,99
AC-1664,MANHATTAN,"SKIN MANHATTAN PARA NOTEBOOK 15.4"" AGUA 3D",3.38,99
AC-1675,TECH ZONE,"MALETIN TECH ZONE PEARL P/IPAD O NETBOOKS DE HASTA 12"" ROJO",127.27,1
AC-1693,TRENDNET,ANTENA TRENDNET PARA INTERIOR OMNIDIRECCIONAL DE 7 DBI,21,3
AC-1698,INTELLINET,ADAPTADOR INTELLINET DE RED RJ-45 10/100 A USB V2.0,14.39,3
AC-1699,INTELLINET,CAJA BLANCA PARA PARED INTELLINET CON 4.8CM DE PROFUNDIDAD,2.02,99
AC-1700,INTELLINET,JACK INTELLINET CAT 5E DE IMPACTO AZUL,1.83,99
AC-1701,INTELLINET,JACK INTELLINET CAT5E DE IMPACTO BLANCO,1.83,99
AC-1702,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 1 SALIDA",1.25,99
AC-1705,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 2 SALIDAS",1.25,99
AC-1707,INTELLINET,INYECTOR DE CORRIENTE POE INTELLINET,34,3
AC-1721,INTELLINET,PANEL DE PARCHEO INTELLINET CAT 6 / 24 PUERTOS,34,3
AC-1727,SABRENT,"PORTA DD SABRENT 3.5""? USB2.0/SATA A IDE O SATA/SATAII",18.4,1
AC-1728,SABRENT,"PORTA DD SABRENT 2.5"" SATA/USB 2.0 ULTRA LIGHT NEGRO",5.85,1
AC-1729,BENQ,LENTES 3D BENQ PARA VIDEPROYECTORES,112.5,0
AC-1736,MANHATTAN,"LECTOR DE MEMORIAS MANHATTAN 60 EN 1, USB 2.0 NEGRO",11.49,99
AC-1754,INTELLINET,KVM INTELLINET 4 PUERTOS USB CON CABLES + AUDIO,98.81,3
AC-1755,MANHATTAN,CONVERTIDOR DE VIDEO MANHATTAN SVGA+AUDIO A HDMI,93.2,99
AC-1756,MANHATTAN,"LECTOR DE MEMORIAS MANHATTAN 24 EN 1 SD, USB 2.0",7.93,99
AC-1757,INTELLINET,JACK INTELLINET CAT5E DE IMPACTO ROJO,1.84,3
AC-1758,INTELLINET,"ORGANIZADOR HORIZONTAL DE CABLES INTELLINET 19"" 2U CON TAPA",23.38,3
AC-1759,INTELLINET,"COPLE MODULAR INTELLINET 1 A 1 8P8C, RJ45",1.06,3
AC-1766,INTELLINET,"ORGANIZADOR FRONTAL DE CABLES INTELLINET 19, 1U, C/TAPA",13.81,3
AC-1767,INTELLINET,"TAPA BLANCA PARA CAJA DE PARED INTELLINET, 4 SALIDAS",1.25,3
AC-1768,D-LINK,KVM SWTICH USB CON 4 PTOS D-LINK,43.98,1
AC-1773,TP LINK,ANTENA TP-LINK PARA INTERIOR OMNIDIRECCIONAL 2.4 GHZ 5 DBI CONECTOR SMA MACHO,3.9,2
AC-1774,TP LINK,ANTENA TP-LINK PARA INTERIOR OMNIDIRECCIONAL 2.4 GHZ 8 DBI CONECTOR SMA MACHO,8.75,2
AC-1781,LENOVO,MALETIN LENOVO THINKPAD BUSINESS HASTA 15.6 DE CARGA SUPERIOR (43R2476) (THINKPAD & BS /VS),419.28,1
AC-1788,SABRENT,MINI HUB 4 PTS USB 2.0 CON LED SABRENT,3.11,1
AC-1815,HP,TRANSCEIVER HP X121/1G/SFP/ LC SX,334.65,1
AC-1827,INGRESSIO,LECTOR BIOMETRICO USB INGRESSIO VIRDI C/SOFTWARE P/30 USUARIOS,187.36,1
AC-1828,INGRESSIO,LECTOR BIOMETRICO INGRESSIO VIRDI USB ADICIONAL,110.89,1
AC-1830,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC2100 C/SOFTWARE P/50 USUARIOS,543.27,1
AC-1831,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC2100 ADICIONAL,396.02,0
AC-1833,INGRESSIO,LECTOR BIOMETRICO INDEPENDIENTE INGRESSIO AC6000 C/SOFTWARE P/50 USU,1215.82,1
AC-1834,INGRESSIO,LECTOR BIOMETRICO INGRESSIO VIRDI AC6000 ADICIONAL,910.39,1
AC-1843,INGRESSIO,INGRESSIO LECTOR BIOMETRICO DE RECONOCIMIENTO FACIAL MARCA HANVON MODELO F-710,548.84,1
AC-1844,HP,KIT DE CONVERSION HP RACK PARA ML370G6,5653.28,1
AC-1850,TRENDNET,PROBADOR DE CABLE DE RED TRENDNET,50.07,1
AC-1851,TRENDNET,PROBADOR DE TONOS E INDUCTOR AMPLIFICADO TRENDNET,47.6,1
